;UUID;Protokoll;URL
1;a889473d-cbe4-454c-838b-aac6b174e46e;WWW:DOWNLOAD-URL;https://www.bafu.admin.ch/bafu/de/home/themen/naturgefahren/fachinformationen/naturgefahrensituation-und-raumnutzung/gefahrengrundlagen/aquaprotect/bestellformular-fuer-daten-aquaprotect.html
2;a889473d-cbe4-454c-838b-aac6b174e46e;CHTOPO:specialised-geoportal;http://map.bafu.admin.ch
0;e7f4931d-2010-4ab2-b4ef-edbc47074ca9;WWW:LINK;https://www.bafu.admin.ch/bafu/de/home/themen/naturgefahren/fachinformationen/naturgefahrensituation-und-raumnutzung/gefahrengrundlagen/aquaprotect.html
1;e7f4931d-2010-4ab2-b4ef-edbc47074ca9;WWW:DOWNLOAD-URL;https://www.bafu.admin.ch/bafu/de/home/themen/naturgefahren/fachinformationen/naturgefahrensituation-und-raumnutzung/gefahrengrundlagen/aquaprotect/bestellformular-fuer-daten-aquaprotect.html
2;e7f4931d-2010-4ab2-b4ef-edbc47074ca9;CHTOPO:specialised-geoportal;http://map.bafu.admin.ch
0;a71453bf-e515-4f70-98cc-c939510dd4b1;WWW:LINK;https://www.bafu.admin.ch/bafu/de/home/themen/naturgefahren/fachinformationen/naturgefahrensituation-und-raumnutzung/gefahrengrundlagen/aquaprotect.html
1;a71453bf-e515-4f70-98cc-c939510dd4b1;WWW:DOWNLOAD-URL;https://www.bafu.admin.ch/bafu/de/home/themen/naturgefahren/fachinformationen/naturgefahrensituation-und-raumnutzung/gefahrengrundlagen/aquaprotect/bestellformular-fuer-daten-aquaprotect.html
2;a71453bf-e515-4f70-98cc-c939510dd4b1;CHTOPO:specialised-geoportal;http://map.bafu.admin.ch
0;7609e210-80c7-4acc-b7b4-b569f0e5679e;WWW:LINK;https://www.bafu.admin.ch/bafu/de/home/themen/naturgefahren/fachinformationen/naturgefahrensituation-und-raumnutzung/gefahrengrundlagen/aquaprotect.html
1;7609e210-80c7-4acc-b7b4-b569f0e5679e;WWW:DOWNLOAD-URL;https://www.bafu.admin.ch/bafu/de/home/themen/naturgefahren/fachinformationen/naturgefahrensituation-und-raumnutzung/gefahrengrundlagen/aquaprotect/bestellformular-fuer-daten-aquaprotect.html
2;7609e210-80c7-4acc-b7b4-b569f0e5679e;CHTOPO:specialised-geoportal;http://map.bafu.admin.ch
0;4e8a2a6b-9ede-4107-9b50-6e9af7389144;WWW:LINK;http://www.bafu.admin.ch/gewaesserschutz
1;4e8a2a6b-9ede-4107-9b50-6e9af7389144;WWW:LINK;https://www.vsa.ch/
2;4e8a2a6b-9ede-4107-9b50-6e9af7389144;CHTOPO:specialised-geoportal;http://map.bafu.admin.ch
0;5e06e47a-8d78-440f-b98e-e46cfa52c474;WWW:LINK;http://www.bafu.admin.ch/gewaesserschutz
1;5e06e47a-8d78-440f-b98e-e46cfa52c474;WWW:LINK;https://www.vsa.ch/
2;5e06e47a-8d78-440f-b98e-e46cfa52c474;CHTOPO:specialised-geoportal;http://map.bafu.admin.ch
0;c80d9b2e-522e-45cb-a587-c5fe028d63df;WWW:LINK;http://www.bafu.admin.ch/gewaesserschutz
1;c80d9b2e-522e-45cb-a587-c5fe028d63df;WWW:LINK;https://www.vsa.ch/
2;c80d9b2e-522e-45cb-a587-c5fe028d63df;CHTOPO:specialised-geoportal;http://map.bafu.admin.ch
0;1c6bc7a0-b243-49f0-9078-6576b37716b7;CHTOPO:specialised-geoportal;https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/geostat/geodaten-bundesstatistik/boden-nutzung-bedeckung-eignung/arealstatistik-schweiz/bodenbedeckung.html
1;1c6bc7a0-b243-49f0-9078-6576b37716b7;WWW:LINK;https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/geostat/geodaten-bundesstatistik/boden-nutzung-bedeckung-eignung/arealstatistik-schweiz/bodenbedeckung.assetdetail.4103543.html
2;1c6bc7a0-b243-49f0-9078-6576b37716b7;WWW:DOWNLOAD-URL;https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/geostat/geodatenabonnemente.html
3;1c6bc7a0-b243-49f0-9078-6576b37716b7;ESRI:REST;https://api3.geo.admin.ch
0;b53c03bb-a168-491f-b266-c7e9ec0af320;WWW:DOWNLOAD-URL;https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/geostat/geodatenabonnemente.html
1;b53c03bb-a168-491f-b266-c7e9ec0af320;WWW:LINK;https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/geostat/geodaten-bundesstatistik/boden-nutzung-bedeckung-eignung/arealstatistik-schweiz/bodenbedeckung.assetdetail.4103543.html
2;b53c03bb-a168-491f-b266-c7e9ec0af320;CHTOPO:specialised-geoportal;https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/geostat/geodaten-bundesstatistik/boden-nutzung-bedeckung-eignung/arealstatistik-schweiz/bodenbedeckung.html
3;b53c03bb-a168-491f-b266-c7e9ec0af320;ESRI:REST;https://api3.geo.admin.ch
0;260bbbe0-0c10-4a31-b566-cd0d6f143a09;WWW:DOWNLOAD-URL;https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/geostat/geodatenabonnemente.html
1;260bbbe0-0c10-4a31-b566-cd0d6f143a09;WWW:LINK;https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/geostat/geodaten-bundesstatistik/boden-nutzung-bedeckung-eignung/arealstatistik-schweiz/standardnomenklatur.assetdetail.4103539.html
2;260bbbe0-0c10-4a31-b566-cd0d6f143a09;CHTOPO:specialised-geoportal;https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/geostat/geodaten-bundesstatistik/boden-nutzung-bedeckung-eignung/arealstatistik-schweiz/standardnomenklatur.html
3;260bbbe0-0c10-4a31-b566-cd0d6f143a09;ESRI:REST;https://api3.geo.admin.ch
0;0dff304b-d90c-4f9c-bd9d-f3c315a128c2;WWW:DOWNLOAD-URL;https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/geostat/geodatenabonnemente.html
