;concept-cat_id;de;fr;it;en;all_nr;all_pub_unpub;harvested_nr (valid=-1)
http://www.geocat.ch/concept#16f62d33-51f5-4bd4-8768-c043d3a1d5f6;16f62d33-51f5-4bd4-8768-c043d3a1d5f6;Radweg;piste cyclable;percorsi per ciclisti;cycling routes;12;12;2
http://custom.shared.obj.ch/concept#51569217-affd-489b-bbea-99bf31cd6e2c;51569217-affd-489b-bbea-99bf31cd6e2c;Richtplanung;planification directrice;pianificazione direttrice;structural planning;10;10;1
http://custom.shared.obj.ch/concept#fff9ac81-3cb2-48eb-a9c6-d7fe2fb8bc1b;fff9ac81-3cb2-48eb-a9c6-d7fe2fb8bc1b;Pegel;niveau;livello;level;2;2;1
http://geocat.ch/concept#180;180;Liegenschaft;bien-fonds;bene immobile;immoveable property;29;30;1
http://geocat.ch/concept#23;23;Baugrund;terrain de fondation;terreno di fondazione;building land;4;4;0
http://custom.shared.obj.ch/concept#8e2856cf-d500-450e-b1f2-66891e754059;8e2856cf-d500-450e-b1f2-66891e754059;Zone;zone;zona;zone;42;65;3
http://www.geocat.ch/concept#e677de77-65cd-470e-9382-ef902d047c98;e677de77-65cd-470e-9382-ef902d047c98;Raumentwicklung;développement territorial;sviluppo territoriale;spatial development;18;18;9
http://geocat.ch/concept#102;102;Geophysikalische Karte;carte géophysique;carta geofisica;geophysical map;23;24;0
http://custom.shared.obj.ch/concept#bd1d4425-98f2-4d6f-9026-ee7d0a03ed0e;bd1d4425-98f2-4d6f-9026-ee7d0a03ed0e;Chronostratigrafie;chronostratigraphie;cronostratigrafia;chronostratigraphy;1;1;0
http://geocat.ch/concept#40;40;Bouguer-Anomalie;anomalie de bouguer;anomalie di bouguer;bouguer anomaly;6;7;0
http://custom.shared.obj.ch/concept#b7d7461f-5d6c-452b-8e53-3b8b42864e4b;b7d7461f-5d6c-452b-8e53-3b8b42864e4b;Planungsvorhaben;projet de planification;progetto di pianificazione;planning project;25;25;0
http://geocat.ch/concept#88;88;Gebietsname;nom de territoire;nome di territorio;area name;1;2;0
http://geocat.ch/concept#141;141;Hoheitsgrenze;limite territoriale;confine giurisdizionale;sovereign border;38;38;0
http://custom.shared.obj.ch/concept#c5eeb50c-3c28-48ff-956a-5a455faf0932;c5eeb50c-3c28-48ff-956a-5a455faf0932;Fischfauna;faune piscicole;fauna ittica;fish fauna;1;1;0
http://geocat.ch/concept#144;144;Höhenkurve;courbe de niveau;curva di livello;contour line;29;29;0
http://custom.shared.obj.ch/concept#c334c478-eea3-41b7-bf4e-a3c0d6145c27;c334c478-eea3-41b7-bf4e-a3c0d6145c27;Archäologische Ausgrabung;fouille archéologique;scavo archeologico;archaeological excavation;2;2;0
http://custom.shared.obj.ch/concept#f672f422-4592-45e2-8f41-303405efefb8;f672f422-4592-45e2-8f41-303405efefb8;Archäologische Fundstätten;lieu de découverte archéologique;luogo del rinvenimento archeologico;place of archeological discovery;4;4;0
http://custom.shared.obj.ch/concept#e518f121-d4bf-4e07-ae3c-2064127031ef;e518f121-d4bf-4e07-ae3c-2064127031ef;Gitter;grille;griglia;grid;1;1;0
http://www.geocat.ch/concept#57963c44-1c97-4971-b1ef-e0a78ed1a34d;57963c44-1c97-4971-b1ef-e0a78ed1a34d;Detailplan;plan détaillé;piano particolareggiato;detailled plan;1;1;0
