;number;layer;TECHPUBLAYERNAME;uuid
307;308;ch.bag.radioaktivitaet-atmosphaere (Radioaktivität in der Atmosphäre);ch.bag.radioaktivitaet-atmosphaere;170800fb-e85c-42b7-8c4b-ba33b364b79f
308;309;ch.bag.radonkarte (Radonkarte);ch.bag.radonkarte;54a8a239-ace3-4510-8fd4-7b4ddc370727
309;310;ch.bag.zecken-fsme-faelle (FSME - Gemeldete Stichorte);ch.bag.zecken-fsme-faelle;836e4e0e-f2b5-4cbc-a20a-62fca7fd2ebe
310;311;ch.bag.zecken-fsme-impfung (FSME - Impfempfehlung);ch.bag.zecken-fsme-impfung;c5b6314d-91ac-466b-ab97-4b7c3c6e5f94
311;312;ch.bag.zeckenstichmodell (Zeckenmodell);ch.bag.zeckenstichmodell;a30c52be-0d18-4b5f-8872-5981b0666376
312;313;ch.bak.bundesinventar-schuetzenswerte-ortsbilder (ISOS - Ortsbildaufnahmen);ch.bak.bundesinventar-schuetzenswerte-ortsbilder;954451d0-f68a-4785-92e1-60aff077dd91
313;314;ch.bak.bundesinventar-schuetzenswerte-ortsbilder_fotos (ISOS - Bilder);ch.bak.bundesinventar-schuetzenswerte-ortsbilder_fotos;b9c1d690-008f-494c-a47f-ec96d9a8d84f
314;315;ch.bak.schutzgebiete-unesco_weltkulturerbe (UNESCO-Welterbe Kulturstätten);ch.bak.schutzgebiete-unesco_weltkulturerbe;fb349ad4-5e01-43b7-9fcd-a0f60ae9c4db
315;316;ch.bakom.anbieter-eigenes_festnetz (Anzahl Leitungsanbieter);ch.bakom.anbieter-eigenes_festnetz;b9b367de-baf0-47d9-b642-bd0f7f29c842
316;317;ch.bakom.anschlussart-glasfaser (Glasfaser FTTB/FTTH);ch.bakom.anschlussart-glasfaser;89c839ce-d778-4f53-be64-68bdc458e8c0
317;318;ch.bakom.anschlussart-koaxialkabel (Koaxial-Kabel);ch.bakom.anschlussart-koaxialkabel;aed73a77-fc04-4406-8ba3-fd998e2625db
318;319;ch.bakom.anschlussart-kupferdraht (Kupfer-Draht);ch.bakom.anschlussart-kupferdraht;fdb8b91e-1cc5-4c7a-8db7-3e3833e8a486
319;320;ch.bakom.downlink10 (Download ≥ 10 Mbit/s);ch.bakom.downlink10;662ddb1a-b016-4d66-97dc-3f97fe092d39
